N,P,K,temperature,humidity,ph,rainfall,label
74.9816047538945,58.52142919229749,51.95981825434215,24.789267873576293,82.34027960663654,5.733991780504304,158.71254182522992,rice
94.6470458309974,48.03345035229626,51.242177333881365,20.16467595436642,94.54864778242991,6.7486639612006325,181.85086660174142,rice
67.27299868828402,35.50213529560301,39.12726728878613,24.198051453057904,86.47917527963173,5.936843710297063,241.77793420835692,rice
65.57975442608168,38.76433945605655,40.99085529881075,23.64855987373629,91.7776394208952,5.799510673237539,227.13516576204174,rice
83.6965827544817,31.393512381599933,48.226345557043146,21.36419298949833,80.9757738947792,6.92332830588,294.8448049611839,rice
92.33589392465845,39.13841307520112,32.93016342019152,25.473864212097254,86.60228740609402,5.683057352267168,224.27653651669053,rice
61.375540844608736,57.27961206236346,37.763399448000506,25.300178274831858,84.67566614134117,6.280102031766717,232.00654190149194,rice
67.39417822102108,59.08753883293676,53.253984700833435,27.515991532513514,93.42241025641474,6.396849968216628,288.2811352534675,rice
63.53970008207678,35.87948587257436,31.35681866731614,22.602642646106116,85.83015934534222,5.9070235476608435,274.3106263727894,rice
74.27013306774357,38.42803529062142,46.28088249474746,21.1273937997981,92.0329547113106,5.611825965519656,298.0330404900776,rice
90.8897907718663,35.961470446025174,30.165663513708072,26.523691427638674,90.60286015771426,6.593510752061481,265.6905520028919,rice
62.96178606936361,40.75397185632818,33.47607178575389,26.90482740700475,89.34947190241337,5.996347037278974,159.53375254290356,rice
72.4392928686265,39.755499660802414,51.888185350141924,25.100459770841706,93.3081911386449,6.208322387742924,167.93913689074526,rice
88.5297914889198,52.82355145850693,46.83831592708489,26.16773743963649,87.40693394546587,6.284099244072991,214.13115275378243,rice
61.01676506976381,33.23674280979913,30.942875570602027,25.091283290110244,84.7153397161449,6.2628560367470545,286.13497108891397,rice
69.971689165955,42.31148769106889,52.66653415629146,21.83038532393298,81.1546986474319,5.934627179370652,174.18319308810067,rice
97.18790609370292,54.24361138693251,49.002112695312704,26.97168472150174,92.05508115348671,5.779855088329054,283.88384977349665,rice
81.57368967662603,54.22320465492187,56.8827389977048,22.54402779977491,81.65077886791515,5.841902743812913,214.06616829393846,rice
92.72059063689971,55.82191749769031,30.20856391593572,24.085978420620528,86.26116504723169,5.833161715706096,167.97980510005243,rice
73.50460685614512,58.287291117375574,39.696087960622656,24.15032497394693,90.54528438342767,6.045444403568941,295.7673124081441,rice
98.49789179768445,37.553468874760924,44.91745517677156,22.407026478534156,84.27260741566201,5.555330421031799,241.4346500969845,rice
80.10716092915446,31.54436253749968,38.359393927098346,27.26612708773323,83.59342836000458,5.717342308136835,223.41791404163445,rice
99.42601816442402,37.26165814534501,50.16406642217636,26.09295692262974,83.56456315988599,6.59232452291779,205.16746990788798,rice
85.29223322374318,49.00589132282684,46.073240522242756,20.722318160435265,92.52953743383857,5.981170097457603,177.97777655997814,rice
61.63100566219056,47.72678829564725,50.32693085526847,20.13270263142285,87.68139587448921,5.839743662796907,246.77591856141748,rice
66.97465716019965,50.72813214307398,41.602060389016124,27.493839909893875,82.0628141621899,6.011599526575388,167.02102818608836,rice
96.98774473114251,56.32018060142943,37.73824883145467,25.27987236827343,92.25833300301824,6.332801217399194,229.44758675340097,rice
69.67409163601806,32.79308303417697,56.91647273859981,27.203344457306642,89.49652185909902,6.008544686573051,202.38143619189913,rice
89.03822715480958,56.913307798577314,56.61259272795352,26.23900436686099,89.63047469231432,5.6262099474925735,174.24430711419205,rice
95.94216754108317,48.1928717897877,30.27591154849889,20.811772342928258,89.95252653662084,5.507592375769328,174.1212077126248,rice
81.94935157466344,50.7568559307808,49.55883778507801,21.79415447568448,90.68268832021303,5.8558736312452,198.80995472389014,rice
89.85965620472096,49.48898697141644,55.47670231482534,25.260903138402746,88.52462905003208,5.640512151742139,205.157370458915,rice
70.60809470726902,37.319689301372506,59.190316642573364,23.144781797334083,93.3806983276567,6.446707938995894,269.2216955312473,rice
80.10548372420769,47.30711653879077,44.77553081456592,21.561943902384357,90.83678172892257,5.921158543661283,153.64739496471807,rice
85.81889183628671,35.31332038221147,58.21375753058743,27.6314286160207,93.72296585330673,6.055238050383167,152.3184924793301,rice
97.13274250350901,42.84552444951943,58.999644571310085,27.70895981671402,92.7951418320104,5.941673338104379,207.7646592902888,rice
94.04546686067428,39.50766015468833,35.084782400582775,24.454410099666802,94.04232161241171,6.54404469501246,235.50917551340473,rice
63.887059750830744,48.45021680097509,59.7016155031279,21.12067212189219,87.77494478545606,6.816059607891933,261.1152926631307,rice
87.88062963981072,51.07452251961328,40.78473453659265,22.348734754115945,92.1404173321777,6.715170092018771,280.0608477870155,rice
96.52962210225886,45.34027196582814,45.04548884061599,26.3863614317342,89.74945896166648,6.552950315886555,269.36890041541517,rice
95.60021367270265,40.13985470554607,41.26748857919832,20.751855518726952,88.6742021149426,5.553913410695113,219.83970271986902,rice
81.70578538830307,38.59623756384853,47.724997817070324,20.244001999512395,80.56022283123822,6.733900840989487,204.02859621168943,rice
65.0824205060754,45.66729780164413,53.09980659295832,21.726568219974745,89.34335713728501,5.628021197490652,157.75225817529116,rice
81.25418526272591,46.219053648303195,49.1228970449462,25.80873066978129,94.63778119193802,6.274450522451793,198.4434709411869,rice
